dataset,layer_id,num_tokens,min_entropy,mean_entropy,diversity_ratio,fragmentation_ratio,min_entropy_l2,mean_l2
kv_retrieval,16,150400,0.0000,0.3438,0.6336,0.8001,17.8750,15.6250
kv_retrieval,17,150400,0.0000,0.4492,0.7263,0.8402,16.7500,16.3750
kv_retrieval,18,150400,0.0000,0.8320,0.6984,0.8546,18.7500,18.8750
kv_retrieval,19,150400,0.0022,0.9336,0.7977,0.8300,16.1250,19.0000
kv_retrieval,20,150400,0.0000,0.6250,0.6136,0.8695,16.8750,17.1250
kv_retrieval,21,150400,0.0000,0.6562,0.7151,0.8233,19.2500,17.5000
kv_retrieval,22,150400,0.0000,0.6719,0.7427,0.8843,16.6250,15.7500
kv_retrieval,23,150400,0.0000,0.5156,0.7567,0.9041,21.1250,17.0000
kv_retrieval,24,150400,0.0000,0.5117,0.6710,0.8740,12.8125,18.8750
kv_retrieval,25,150400,0.0000,0.8359,0.8298,0.9059,20.0000,18.5000
kv_retrieval,26,150400,0.0001,0.8359,0.8750,0.9630,17.2500,18.3750
kv_retrieval,27,150400,0.0000,0.8828,0.8351,0.8791,57.0000,23.0000
kv_retrieval,0,8576,0.0000,4.6562,0.5603,0.6006,17.0000,19.8750
kv_retrieval,1,8576,0.3047,4.5625,0.6320,0.6724,14.3750,9.3750
kv_retrieval,2,8576,0.0297,1.7188,0.5843,0.7268,9.0000,10.6875
kv_retrieval,3,8576,0.0417,2.1562,0.5628,0.7015,10.4375,9.6875
kv_retrieval,4,8576,0.0000,0.6211,0.6097,0.6059,20.3750,21.5000
kv_retrieval,5,8576,0.0004,0.9102,0.5639,0.7095,16.7500,19.1250
kv_retrieval,6,8576,0.0003,1.5391,0.5594,0.6633,18.1250,19.7500
kv_retrieval,7,8576,0.0000,1.0547,0.6138,0.6495,18.0000,16.2500
kv_retrieval,8,8576,0.0134,0.6562,0.5625,0.6612,21.1250,21.2500
kv_retrieval,9,8576,0.0004,1.0703,0.5926,0.6841,13.5000,15.1875
kv_retrieval,10,8576,0.0013,1.0625,0.5220,0.6996,27.6250,21.6250
